70.0651,P,288.203,y2,502.2766+2,a9+2,749.3905+2,y12-H2O+2,1108.615,y9-H2O
70.0651,R,288.6550+2,a5-NH3+2,507.2687+2,b9-H2O+2,749.8825+2,y12-NH3+2,1109.599,y9-NH3
72.0808,V,297.1683+2,a5+2,507.7608+2,b9-NH3+2,756.3927+2,a13-NH3+2,1126.6255,y9
74.06,T,301.2234,a3,514.2984,y4,758.3957+2,y12+2,1172.5986,a10-NH3
79.5498+2,y1-NH3+2,302.1605+2,b5-H2O+2,516.2740+2,b9+2,764.9059+2,a13+2,1189.6252,a10
84.0808,K,302.6525+2,b5-NH3+2,554.8111+2,y9-H2O+2,769.8981+2,b13-H2O+2,1199.6095,b10-H2O
86.0964,I,305.1896+2,y5-H2O+2,555.3031+2,y9-NH3+2,770.3901+2,b13-NH3+2,1200.5936,b10-NH3
87.0917,R,305.6816+2,y5-NH3+2,563.8164+2,y9+2,778.9034+2,b13+2,1205.6677,y10-H2O
88.0631+2,y1+2,311.1658+2,b5+2,576.3028,a5-NH3,787.9087+2,b13+H2O+2,1206.6517,y10-NH3
92.0782+2,a2-NH3+2,311.2078,b3-H2O,576.3103+3,y14-H2O+3,795.4512,y6-H2O,1217.6201,b10
100.0869,R,312.1918,b3-NH3,576.6383+3,y14-NH3+3,796.4352,y6-NH3,1223.6783,y10
100.5915+2,a2+2,314.1949+2,y5+2,582.3138+3,y14+3,799.9143+2,y13-H2O+2,1285.6827,a11-NH3
101.1073,K,329.2183,b3,586.8030+2,a10-NH3+2,800.4063+2,y13-NH3+2,1302.7093,a11
102.055,E,337.1814+2,a6-NH3+2,593.3293,a5,802.3981,a7-NH3,1312.6936,b11-H2O
106.0757+2,b2-NH3+2,345.6947+2,a6+2,595.3162+2,a10+2,808.9196+2,y13+2,1313.6776,b11-NH3
112.0869,R,350.6869+2,b6-H2O+2,600.3084+2,b10-H2O+2,812.9347+2,a14-NH3+2,1330.7042,b11
114.5890+2,b2+2,351.1789+2,b6-NH3+2,600.8004+2,b10-NH3+2,813.4618,y6,1334.7103,y11-H2O
126.055,P,359.6921+2,b6+2,603.3137,b5-H2O,819.4247,a7,1335.6943,y11-NH3
126.0913,K,398.2292+2,y6-H2O+2,603.3375+2,y10-H2O+2,821.4480+2,a14+2,1352.7209,y11
129.1022,K,398.7212+2,y6-NH3+2,603.8295+2,y10-NH3+2,826.4401+2,b14-H2O+2,1382.7355,a12-NH3
136.0757,Y,399.235,y3-H2O,604.2977,b5-NH3,826.9322+2,b14-NH3+2,1399.762,a12
136.0919+2,y2-NH3+2,400.2191,y3-NH3,609.3137+2,b10+2,829.409,b7-H2O,1409.7464,b12-H2O
142.6021+2,a3-NH3+2,401.7027+2,a7-NH3+2,609.3331+3,MH-H2O+3,830.3931,b7-NH3,1410.7304,b12-NH3
